Charge Time,Cleaning Time Infinity,Cleaning Time for 1-Iteration,Total Cleaning Time (TCT)
30,30,30,30
30,30,45,30
30,30,60,30
30,30,75,30
30,30,90,30
30,30,105,30
30,30,120,30
30,30,135,30
30,30,150,30
30,45,30,75
30,45,45,45
30,45,60,45
30,45,75,45
30,45,90,45
30,45,105,45
30,45,120,45
30,45,135,45
30,45,150,45
30,60,30,90
30,60,45,90
30,60,60,60
30,60,75,60
30,60,90,60
30,60,105,60
30,60,120,60
30,60,135,60
30,60,150,60
30,75,30,135
30,75,45,105
30,75,60,105
30,75,75,75
30,75,90,75
30,75,105,75
30,75,120,75
30,75,135,75
30,75,150,75
30,90,30,150
30,90,45,120
30,90,60,120
30,90,75,120
30,90,90,90
30,90,105,90
30,90,120,90
30,90,135,90
30,90,150,90
30,105,30,195
30,105,45,165
30,105,60,135
30,105,75,135
30,105,90,135
30,105,105,105
30,105,120,105
30,105,135,105
30,105,150,105
30,120,30,210
30,120,45,180
30,120,60,150
30,120,75,150
30,120,90,150
30,120,105,150
30,120,120,120
30,120,135,120
30,120,150,120
30,135,30,255
30,135,45,195
30,135,60,195
30,135,75,165
30,135,90,165
30,135,105,165
30,135,120,165
30,135,135,135
30,135,150,135
30,150,30,270
30,150,45,240
30,150,60,210
30,150,75,180
30,150,90,180
30,150,105,180
30,150,120,180
30,150,135,180
30,150,150,150
45,30,30,30
45,30,45,30
45,30,60,30
45,30,75,30
45,30,90,30
45,30,105,30
45,30,120,30
45,30,135,30
45,30,150,30
45,45,30,90
45,45,45,45
45,45,60,45
45,45,75,45
45,45,90,45
45,45,105,45
45,45,120,45
45,45,135,45
45,45,150,45
45,60,30,105
45,60,45,105
45,60,60,60
45,60,75,60
45,60,90,60
45,60,105,60
45,60,120,60
45,60,135,60
45,60,150,60
45,75,30,165
45,75,45,120
45,75,60,120
45,75,75,75
45,75,90,75
45,75,105,75
45,75,120,75
45,75,135,75
45,75,150,75
45,90,30,180
45,90,45,135
45,90,60,135
45,90,75,135
45,90,90,90
45,90,105,90
45,90,120,90
45,90,135,90
45,90,150,90
45,105,30,240
45,105,45,195
45,105,60,150
45,105,75,150
45,105,90,150
45,105,105,105
45,105,120,105
45,105,135,105
45,105,150,105
45,120,30,255
45,120,45,210
45,120,60,165
45,120,75,165
45,120,90,165
45,120,105,165
45,120,120,120
45,120,135,120
45,120,150,120
45,135,30,315
45,135,45,225
45,135,60,225
45,135,75,180
45,135,90,180
45,135,105,180
45,135,120,180
45,135,135,135
45,135,150,135
45,150,30,330
45,150,45,285
45,150,60,240
45,150,75,195
45,150,90,195
45,150,105,195
45,150,120,195
45,150,135,195
45,150,150,150
60,30,30,30
60,30,45,30
60,30,60,30
60,30,75,30
60,30,90,30
60,30,105,30
60,30,120,30
60,30,135,30
60,30,150,30
60,45,30,105
60,45,45,45
60,45,60,45
60,45,75,45
60,45,90,45
60,45,105,45
60,45,120,45
60,45,135,45
60,45,150,45
60,60,30,120
60,60,45,120
60,60,60,60
60,60,75,60
60,60,90,60
60,60,105,60
60,60,120,60
60,60,135,60
60,60,150,60
60,75,30,195
60,75,45,135
60,75,60,135
60,75,75,75
60,75,90,75
60,75,105,75
60,75,120,75
60,75,135,75
60,75,150,75
60,90,30,210
60,90,45,150
60,90,60,150
60,90,75,150
60,90,90,90
60,90,105,90
60,90,120,90
60,90,135,90
60,90,150,90
60,105,30,285
60,105,45,225
60,105,60,165
60,105,75,165
60,105,90,165
60,105,105,105
60,105,120,105
60,105,135,105
60,105,150,105
60,120,30,300
60,120,45,240
60,120,60,180
60,120,75,180
60,120,90,180
60,120,105,180
60,120,120,120
60,120,135,120
60,120,150,120
60,135,30,375
60,135,45,255
60,135,60,255
60,135,75,195
60,135,90,195
60,135,105,195
60,135,120,195
60,135,135,135
60,135,150,135
60,150,30,390
60,150,45,330
60,150,60,270
60,150,75,210
60,150,90,210
60,150,105,210
60,150,120,210
60,150,135,210
60,150,150,150
75,30,30,30
75,30,45,30
75,30,60,30
75,30,75,30
75,30,90,30
75,30,105,30
75,30,120,30
75,30,135,30
75,30,150,30
75,45,30,120
75,45,45,45
75,45,60,45
75,45,75,45
75,45,90,45
75,45,105,45
75,45,120,45
75,45,135,45
75,45,150,45
75,60,30,135
75,60,45,135
75,60,60,60
75,60,75,60
75,60,90,60
75,60,105,60
75,60,120,60
75,60,135,60
75,60,150,60
75,75,30,225
75,75,45,150
75,75,60,150
75,75,75,75
75,75,90,75
75,75,105,75
75,75,120,75
75,75,135,75
75,75,150,75
75,90,30,240
75,90,45,165
75,90,60,165
75,90,75,165
75,90,90,90
75,90,105,90
75,90,120,90
75,90,135,90
75,90,150,90
75,105,30,330
75,105,45,255
75,105,60,180
75,105,75,180
75,105,90,180
75,105,105,105
75,105,120,105
75,105,135,105
75,105,150,105
75,120,30,345
75,120,45,270
75,120,60,195
75,120,75,195
75,120,90,195
75,120,105,195
75,120,120,120
75,120,135,120
75,120,150,120
75,135,30,435
75,135,45,285
75,135,60,285
75,135,75,210
75,135,90,210
75,135,105,210
75,135,120,210
75,135,135,135
75,135,150,135
75,150,30,450
75,150,45,375
75,150,60,300
75,150,75,225
75,150,90,225
75,150,105,225
75,150,120,225
75,150,135,225
75,150,150,150
90,30,30,30
90,30,45,30
90,30,60,30
90,30,75,30
90,30,90,30
90,30,105,30
90,30,120,30
90,30,135,30
90,30,150,30
90,45,30,135
90,45,45,45
90,45,60,45
90,45,75,45
90,45,90,45
90,45,105,45
90,45,120,45
90,45,135,45
90,45,150,45
90,60,30,150
90,60,45,150
90,60,60,60
90,60,75,60
90,60,90,60
90,60,105,60
90,60,120,60
90,60,135,60
90,60,150,60
90,75,30,255
90,75,45,165
90,75,60,165
90,75,75,75
90,75,90,75
90,75,105,75
90,75,120,75
90,75,135,75
90,75,150,75
90,90,30,270
90,90,45,180
90,90,60,180
90,90,75,180
90,90,90,90
90,90,105,90
90,90,120,90
90,90,135,90
90,90,150,90
90,105,30,375
90,105,45,285
90,105,60,195
90,105,75,195
90,105,90,195
90,105,105,105
90,105,120,105
90,105,135,105
90,105,150,105
90,120,30,390
90,120,45,300
90,120,60,210
90,120,75,210
90,120,90,210
90,120,105,210
90,120,120,120
90,120,135,120
90,120,150,120
90,135,30,495
90,135,45,315
90,135,60,315
90,135,75,225
90,135,90,225
90,135,105,225
90,135,120,225
90,135,135,135
90,135,150,135
90,150,30,510
90,150,45,420
90,150,60,330
90,150,75,240
90,150,90,240
90,150,105,240
90,150,120,240
90,150,135,240
90,150,150,150
105,30,30,30
105,30,45,30
105,30,60,30
105,30,75,30
105,30,90,30
105,30,105,30
105,30,120,30
105,30,135,30
105,30,150,30
105,45,30,150
105,45,45,45
105,45,60,45
105,45,75,45
105,45,90,45
105,45,105,45
105,45,120,45
105,45,135,45
105,45,150,45
105,60,30,165
105,60,45,165
105,60,60,60
105,60,75,60
105,60,90,60
105,60,105,60
105,60,120,60
105,60,135,60
105,60,150,60
105,75,30,285
105,75,45,180
105,75,60,180
105,75,75,75
105,75,90,75
105,75,105,75
105,75,120,75
105,75,135,75
105,75,150,75
105,90,30,300
105,90,45,195
105,90,60,195
105,90,75,195
105,90,90,90
105,90,105,90
105,90,120,90
105,90,135,90
105,90,150,90
105,105,30,420
105,105,45,315
105,105,60,210
105,105,75,210
105,105,90,210
105,105,105,105
105,105,120,105
105,105,135,105
105,105,150,105
105,120,30,435
105,120,45,330
105,120,60,225
105,120,75,225
105,120,90,225
105,120,105,225
105,120,120,120
105,120,135,120
105,120,150,120
105,135,30,555
105,135,45,345
105,135,60,345
105,135,75,240
105,135,90,240
105,135,105,240
105,135,120,240
105,135,135,135
105,135,150,135
105,150,30,570
105,150,45,465
105,150,60,360
105,150,75,255
105,150,90,255
105,150,105,255
105,150,120,255
105,150,135,255
105,150,150,150
120,30,30,30
120,30,45,30
120,30,60,30
120,30,75,30
120,30,90,30
120,30,105,30
120,30,120,30
120,30,135,30
120,30,150,30
120,45,30,165
120,45,45,45
120,45,60,45
120,45,75,45
120,45,90,45
120,45,105,45
120,45,120,45
120,45,135,45
120,45,150,45
120,60,30,180
120,60,45,180
120,60,60,60
120,60,75,60
120,60,90,60
120,60,105,60
120,60,120,60
120,60,135,60
120,60,150,60
120,75,30,315
120,75,45,195
120,75,60,195
120,75,75,75
120,75,90,75
120,75,105,75
120,75,120,75
120,75,135,75
120,75,150,75
120,90,30,330
120,90,45,210
120,90,60,210
120,90,75,210
120,90,90,90
120,90,105,90
120,90,120,90
120,90,135,90
120,90,150,90
120,105,30,465
120,105,45,345
120,105,60,225
120,105,75,225
120,105,90,225
120,105,105,105
120,105,120,105
120,105,135,105
120,105,150,105
120,120,30,480
120,120,45,360
120,120,60,240
120,120,75,240
120,120,90,240
120,120,105,240
120,120,120,120
120,120,135,120
120,120,150,120
120,135,30,615
120,135,45,375
120,135,60,375
120,135,75,255
120,135,90,255
120,135,105,255
120,135,120,255
120,135,135,135
120,135,150,135
120,150,30,630
120,150,45,510
120,150,60,390
120,150,75,270
120,150,90,270
120,150,105,270
120,150,120,270
120,150,135,270
120,150,150,150
135,30,30,30
135,30,45,30
135,30,60,30
135,30,75,30
135,30,90,30
135,30,105,30
135,30,120,30
135,30,135,30
135,30,150,30
135,45,30,180
135,45,45,45
135,45,60,45
135,45,75,45
135,45,90,45
135,45,105,45
135,45,120,45
135,45,135,45
135,45,150,45
135,60,30,195
135,60,45,195
135,60,60,60
135,60,75,60
135,60,90,60
135,60,105,60
135,60,120,60
135,60,135,60
135,60,150,60
135,75,30,345
135,75,45,210
135,75,60,210
135,75,75,75
135,75,90,75
135,75,105,75
135,75,120,75
135,75,135,75
135,75,150,75
135,90,30,360
135,90,45,225
135,90,60,225
135,90,75,225
135,90,90,90
135,90,105,90
135,90,120,90
135,90,135,90
135,90,150,90
135,105,30,510
135,105,45,375
135,105,60,240
135,105,75,240
135,105,90,240
135,105,105,105
135,105,120,105
135,105,135,105
135,105,150,105
135,120,30,525
135,120,45,390
135,120,60,255
135,120,75,255
135,120,90,255
135,120,105,255
135,120,120,120
135,120,135,120
135,120,150,120
135,135,30,675
135,135,45,405
135,135,60,405
135,135,75,270
135,135,90,270
135,135,105,270
135,135,120,270
135,135,135,135
135,135,150,135
135,150,30,690
135,150,45,555
135,150,60,420
135,150,75,285
135,150,90,285
135,150,105,285
135,150,120,285
135,150,135,285
135,150,150,150
150,30,30,30
150,30,45,30
150,30,60,30
150,30,75,30
150,30,90,30
150,30,105,30
150,30,120,30
150,30,135,30
150,30,150,30
150,45,30,195
150,45,45,45
150,45,60,45
150,45,75,45
150,45,90,45
150,45,105,45
150,45,120,45
150,45,135,45
150,45,150,45
150,60,30,210
150,60,45,210
150,60,60,60
150,60,75,60
150,60,90,60
150,60,105,60
150,60,120,60
150,60,135,60
150,60,150,60
150,75,30,375
150,75,45,225
150,75,60,225
150,75,75,75
150,75,90,75
150,75,105,75
150,75,120,75
150,75,135,75
150,75,150,75
150,90,30,390
150,90,45,240
150,90,60,240
150,90,75,240
150,90,90,90
150,90,105,90
150,90,120,90
150,90,135,90
150,90,150,90
150,105,30,555
150,105,45,405
150,105,60,255
150,105,75,255
150,105,90,255
150,105,105,105
150,105,120,105
150,105,135,105
150,105,150,105
150,120,30,570
150,120,45,420
150,120,60,270
150,120,75,270
150,120,90,270
150,120,105,270
150,120,120,120
150,120,135,120
150,120,150,120
150,135,30,735
150,135,45,435
150,135,60,435
150,135,75,285
150,135,90,285
150,135,105,285
150,135,120,285
150,135,135,135
150,135,150,135
150,150,30,750
150,150,45,600
150,150,60,450
150,150,75,300
150,150,90,300
150,150,105,300
150,150,120,300
150,150,135,300
150,150,150,150
